"계정별",2020. 01. 23,2020. 01. 28,2020. 01. 29,2020. 01. 30,2020. 01. 31,2020. 02. 03,2020. 02. 04,2020. 02. 05,2020. 02. 06,2020. 02. 07,2020. 02. 10,2020. 02. 11,2020. 02. 12,2020. 02. 13,2020. 02. 14,2020. 02. 17,2020. 02. 18,2020. 02. 19,2020. 02. 20,2020. 02. 21,2020. 02. 24,2020. 02. 25,2020. 02. 26,2020. 02. 27,2020. 02. 28,2020. 03. 02,2020. 03. 03,2020. 03. 04,2020. 03. 05,2020. 03. 06,2020. 03. 09,2020. 03. 10,2020. 03. 11,2020. 03. 12,2020. 03. 13,2020. 03. 16,2020. 03. 17,2020. 03. 18,2020. 03. 19,2020. 03. 20,2020. 03. 23,2020. 03. 24,2020. 03. 25,2020. 03. 26,2020. 03. 27,2020. 03. 30,2020. 03. 31,2020. 04. 01,2020. 04. 02,2020. 04. 03,2020. 04. 06,2020. 04. 07,2020. 04. 08,2020. 04. 09,2020. 04. 10,2020. 04. 13,2020. 04. 14,2020. 04. 16,2020. 04. 17,2020. 04. 20,2020. 04. 21,2020. 04. 22,2020. 04. 23,2020. 04. 24,2020. 04. 27,2020. 04. 28,2020. 04. 29,2020. 05. 04,2020. 05. 06,2020. 05. 07,2020. 05. 08,2020. 05. 11,2020. 05. 12,2020. 05. 13,2020. 05. 14,2020. 05. 15,2020. 05. 18,2020. 05. 19,2020. 05. 20,2020. 05. 21,2020. 05. 22,2020. 05. 25,2020. 05. 26,2020. 05. 27,2020. 05. 28,2020. 05. 29,2020. 06. 01,2020. 06. 02,2020. 06. 03,2020. 06. 04,2020. 06. 05,2020. 06. 08,2020. 06. 09,2020. 06. 10,2020. 06. 11,2020. 06. 12,2020. 06. 15,2020. 06. 16,2020. 06. 17,2020. 06. 18,2020. 06. 19,2020. 06. 22,2020. 06. 23,2020. 06. 24,2020. 06. 25,2020. 06. 26,2020. 06. 29,2020. 06. 30,2020. 07. 01,2020. 07. 02,2020. 07. 03,2020. 07. 06,2020. 07. 07,2020. 07. 08,2020. 07. 09,2020. 07. 10,2020. 07. 13,2020. 07. 14,2020. 07. 15,2020. 07. 16,2020. 07. 17,2020. 07. 20,2020. 07. 21,2020. 07. 22,2020. 07. 23,2020. 07. 24,2020. 07. 27,2020. 07. 28,2020. 07. 29,2020. 07. 30,2020. 07. 31,2020. 08. 03,2020. 08. 04,2020. 08. 05,2020. 08. 06,2020. 08. 07,2020. 08. 10,2020. 08. 11,2020. 08. 12,2020. 08. 13,2020. 08. 14,2020. 08. 18,2020. 08. 19,2020. 08. 20,2020. 08. 21,2020. 08. 24,2020. 08. 25,2020. 08. 26,2020. 08. 27,2020. 08. 28,2020. 08. 31,2020. 09. 01,2020. 09. 02,2020. 09. 03,2020. 09. 04,2020. 09. 07,2020. 09. 08,2020. 09. 09,2020. 09. 10,2020. 09. 11,2020. 09. 14,2020. 09. 15,2020. 09. 16,2020. 09. 17,2020. 09. 18,2020. 09. 21,2020. 09. 22,2020. 09. 23,2020. 09. 24,2020. 09. 25,2020. 09. 28,2020. 09. 29,2020. 10. 05,2020. 10. 06,2020. 10. 07,2020. 10. 08,2020. 10. 12,2020. 10. 13,2020. 10. 14,2020. 10. 15,2020. 10. 16,2020. 10. 19,2020. 10. 20,2020. 10. 21,2020. 10. 22,2020. 10. 23,2020. 10. 26,2020. 10. 27,2020. 10. 28,2020. 10. 29,2020. 10. 30,2020. 11. 02,2020. 11. 03,2020. 11. 04,2020. 11. 05,2020. 11. 06,2020. 11. 09,2020. 11. 10,2020. 11. 11,2020. 11. 12,2020. 11. 13,2020. 11. 16,2020. 11. 17,2020. 11. 18,2020. 11. 19,2020. 11. 20,2020. 11. 23,2020. 11. 24,2020. 11. 25,2020. 11. 26,2020. 11. 27,2020. 11. 30,2020. 12. 01,2020. 12. 02,2020. 12. 03,2020. 12. 04,2020. 12. 07,2020. 12. 08,2020. 12. 09,2020. 12. 10,2020. 12. 11,2020. 12. 14,2020. 12. 15,2020. 12. 16,2020. 12. 17,2020. 12. 18,2020. 12. 21,2020. 12. 22,2020. 12. 23,2020. 12. 24,2020. 12. 28,2020. 12. 29,2020. 12. 30,2021. 01. 04,2021. 01. 05,2021. 01. 06,2021. 01. 07,2021. 01. 08,2021. 01. 11,2021. 01. 12,2021. 01. 13,2021. 01. 14,2021. 01. 15,2021. 01. 18,2021. 01. 19,2021. 01. 20,2021. 01. 21,2021. 01. 22,2021. 01. 25,2021. 01. 26,2021. 01. 27,2021. 01. 28,2021. 01. 29,2021. 02. 01,2021. 02. 02,2021. 02. 03,2021. 02. 04,2021. 02. 05,2021. 02. 08,2021. 02. 09,2021. 02. 10,2021. 02. 15,2021. 02. 16,2021. 02. 17,2021. 02. 18,2021. 02. 19,2021. 02. 22,2021. 02. 23,2021. 02. 24,2021. 02. 25,2021. 02. 26,2021. 03. 02,2021. 03. 03,2021. 03. 04,2021. 03. 05,2021. 03. 08,2021. 03. 09,2021. 03. 10,2021. 03. 11,2021. 03. 12,2021. 03. 15,2021. 03. 16,2021. 03. 17,2021. 03. 18,2021. 03. 19,2021. 03. 22,2021. 03. 23,2021. 03. 24,2021. 03. 25,2021. 03. 26,2021. 03. 29,2021. 03. 30
"KOSPI지수 (1980.01.04=100)",2246.13,2176.72,2185.28,2148,2119.01,2118.88,2157.9,2165.63,2227.94,2211.95,2201.07,2223.12,2238.38,2232.96,2243.59,2242.17,2208.88,2210.34,2195.5,2162.84,2079.04,2103.61,2076.77,2054.89,1987.01,2002.51,2014.15,2059.33,2085.26,2040.22,1954.77,1962.93,1908.27,1834.33,1771.44,1714.86,1672.44,1591.2,1457.64,1566.15,1482.46,1609.97,1704.76,1686.24,1717.73,1717.12,1754.64,1685.46,1724.86,1725.44,1791.88,1823.6,1807.14,1836.21,1860.7,1825.76,1857.08,1857.07,1914.53,1898.36,1879.38,1896.15,1914.73,1889.01,1922.77,1934.09,1947.56,1895.37,1928.76,1928.61,1945.82,1935.4,1922.17,1940.42,1924.96,1927.28,1937.11,1980.61,1989.64,1998.31,1970.13,1994.6,2029.78,2031.2,2028.54,2029.6,2065.08,2087.19,2147,2151.18,2181.87,2184.29,2188.92,2195.69,2176.78,2132.3,2030.82,2138.05,2141.05,2133.48,2141.32,2126.73,2131.24,2161.51,2112.37,2134.65,2093.48,2108.33,2106.7,2135.37,2152.41,2187.93,2164.17,2158.88,2167.9,2150.25,2186.06,2183.61,2201.88,2183.76,2201.19,2198.2,2228.83,2228.66,2216.19,2200.44,2217.86,2256.99,2263.16,2267.01,2249.37,2251.04,2279.97,2311.86,2342.61,2351.67,2386.38,2418.67,2432.35,2437.53,2407.49,2348.24,2360.54,2274.22,2304.59,2329.83,2366.73,2369.32,2344.45,2353.8,2326.17,2349.55,2364.27,2395.9,2368.25,2384.22,2401.91,2375.81,2396.48,2396.69,2427.91,2443.58,2435.92,2406.17,2412.4,2389.39,2332.59,2333.24,2272.7,2278.79,2308.08,2327.89,2358,2365.9,2386.94,2391.96,2403.73,2403.15,2380.48,2361.21,2341.53,2346.74,2358.41,2370.86,2355.05,2360.81,2343.91,2330.84,2345.26,2326.67,2267.15,2300.16,2343.31,2357.32,2413.79,2416.5,2447.2,2452.83,2485.87,2475.62,2493.87,2543.03,2539.15,2545.64,2547.42,2553.5,2602.59,2617.76,2601.54,2625.91,2633.45,2591.34,2634.25,2675.9,2696.22,2731.45,2745.44,2700.93,2755.47,2746.46,2770.06,2762.2,2756.82,2771.79,2770.43,2772.18,2778.65,2733.68,2759.82,2806.86,2808.6,2820.51,2873.47,2944.45,2990.57,2968.21,3031.68,3152.18,3148.45,3125.95,3148.29,3149.93,3085.9,3013.93,3092.66,3114.55,3160.84,3140.63,3208.99,3140.31,3122.56,3069.05,2976.21,3056.53,3096.81,3129.68,3087.55,3120.63,3091.24,3084.67,3100.58,3147,3163.25,3133.73,3086.66,3107.62,3079.75,3070.09,2994.98,3099.69,3012.95,3043.87,3082.99,3043.49,3026.26,2996.11,2976.12,2958.12,3013.7,3054.39,3045.71,3067.17,3047.5,3066.01,3039.53,3035.46,3004.74,2996.35,3008.33,3041.01,3036.04,3070
"거래량(주식시장, 잠정치) (만주)",50281,80005,68156,59486,69688,82734,61627,56312,68323,76671,60047,51031,62342,62961,58900,45309,46488,58177,69735,61927,93987,154520,79762,55135,66009,51611,60417,59176,65995,85413,65833,62824,66282,83714,101811,67142,64165,71447,96525,80738,63629,67091,85211,98294,106793,75300,102676,123125,75229,98633,120410,93951,89301,90747,98119,100559,87212,86439,164392,107582,115000,80584,66209,92213,72460,115932,196812,113313,106364,76237,77519,58179,78391,60834,74464,85091,75267,76255,68812,58894,83239,63009,99945,116000,114797,105741,98255,98506,112819,139331,84007,84291,80525,69521,81382,68131,106054,94672,91480,75411,106754,77946,90550,89571,100627,72887,63163,70004,109845,107319,75404,65895,83665,67004,60886,87618,64152,79968,81131,77482,56098,67546,90562,83944,92007,97928,91794,85133,88531,70318,67874,63619,71256,83019,78518,80226,77509,83471,75294,89247,95559,89803,61341,89088,85549,63984,76040,94113,89819,127522,162326,106049,141100,96640,133562,117981,96591,92922,105218,87203,95340,83963,75463,83415,74448,102742,103905,72540,70588,68659,59751,62572,74641,84699,72284,93896,83190,71498,87994,114826,90804,91137,86245,80176,80173,87413,81273,64325,69456,48765,77515,66457,87402,97286,69141,81216,133939,144730,125181,125045,105623,122265,122736,91053,96147,111584,162545,134636,138471,136351,118077,128499,113515,105506,80978,173858,149927,139822,123899,121123,114991,109859,107508,114736,99842,104682,112458,124742,110358,101761,97765,103679,106314,101065,148704,176229,149653,127349,169681,137426,155504,121544,130247,147204857,133346,117305,133110,109424,102163,85977,90462,129108,97152,95780,87415,87745,144430,117932,126627,210625,212830,159203,190561,176320,184008,340966,181606,221171,152687,125454,134301,171862,220763,126002,116992,189818,149717,88707,132839,164653,114601,111184,80256,121747,105233,90302,131411,96541,92193,101598,126614,100727
"거래대금(주식시장 , 잠정치) (억원)",66604,86452,64851,70166,71231,79237,76653,74625,80636,69263,53322,64744,67750,79571,61331,55661,63114,69564,75077,67885,91442,87585,78447,70534,96703,75988,85592,77165,78066,70996,87018,89000,80713,111429,131082,84706,95523,93618,117932,104886,94840,103315,124313,122361,127324,89662,136451,119485,95492,100117,107713,113983,109903,103468,118514,94230,98068,105178,139367,117432,136690,92868,88335,95065,80301,102513,104008,101514,84270,72651,78259,76145,95041,87916,93207,95519,92434,117300,80024,85245,93269,78421,123887,124575,142368,137522,95706,100977,168057,160340,125834,129256,145235,126818,166430,147331,180153,134319,152165,108456,120660,98955,133479,126625,105485,93989,88830,115652,100769,104296,84687,115314,146698,114354,117707,119114,103154,114321,133936,110797,100571,118088,155207,153243,161317,168445,140288,171651,152509,133489,127435,134253,150880,176443,175722,173246,192807,194240,164138,180010,163871,173132,120847,168958,139764,115189,134008,142790,149421,153287,190360,160970,155344,171670,194445,168989,170084,152449,155881,118812,118683,116982,115664,138648,137065,140132,174959,133922,122948,98965,88438,88971,104550,108023,88032,122425,104726,100256,104732,127599,109631,101738,116758,96824,95695,105292,114935,99447,87814,101404,114583,84136,106927,146587,124107,124358,146452,177071,179889,157200,168009,187682,174916,133421,122996,120504,155105,165607,212897,124859,124184,204460,157440,168873,154123,196317,179330,169323,167965,202828,179729,168133,152817,132648,158383,189014,186946,196297,198768,196964,235760,190665,176820,247266,262636,292718,268161,401927,440694,310825,239647,238116,227607,231869,237776,242686,246194,239627,208031,215663,194493,226849,237821,204914,189153,216307,203807,194376,190533,180563,180699,165581,168631,165949,179286,194293,179932,173131,196542,169459,210135,185405,139140,168001,164753,155020,180119,128713,157549,129247,124182,127617,132326,148472,159437,131362,158799,131201,131391,153815,164533,139350
"외국인 순매수(주식시장, 잠정치) (억원)",-1379,-5262,1000,-2802,-4277,-3071,4876,4578,1586,223,-3039,-934,-2163,2795,945,-2287,-3069,-2212,1107,2150,-7860,-7696,-8762,-3985,-6312,-7832,-3123,1534,-1473,-5641,-13125,-9876,-6879,-8910,-11650,-6814,-10030,-5106,-6179,-5844,-6428,-818,-3262,-5350,-3751,-4272,-721,-5782,-6234,-2901,-1973,-1969,-1360,-1806,-562,-2954,-300,-5677,3229,-4935,-5296,-367,-1063,-2322,192,-1268,2349,-9463,-3191,-3126,468,-1746,-3111,-3207,-5541,-4722,-864,3707,808,736,-4768,-1407,144,-2176,609,-1990,1089,-502,2102,465,-720,114,-231,-477,-1206,-2623,-4786,1081,-531,-1622,468,-2520,-547,3516,-2802,602,-2328,-733,-1637,-171,148,-2617,-3859,-3399,65,-3476,1053,71,2743,-1322,1167,-739,4483,-3,-2008,841,1677,13113,2980,2228,-548,-2719,-615,-456,1685,-730,-1330,1512,-1550,-3476,-4641,745,-2662,-2805,1982,1992,1572,1896,-257,-2250,-16362,-2084,-2541,1921,-4715,-2513,-337,-1136,3821,-1513,1439,2504,1751,-1256,1453,-737,-171,-559,-1915,-899,-580,-712,1743,1701,-975,7610,1396,2127,-367,-162,-1713,377,431,-239,-738,386,-1454,1059,93,-5386,-9825,492,2177,-2174,11411,7950,3337,1602,8377,4898,5263,4655,3515,667,1056,1038,9888,7269,-419,2517,797,-24378,748,5181,2103,7622,-652,-8521,1633,-13663,-1540,-3670,-3724,932,-2587,-1939,-99,-1471,833,1244,710,-3172,2494,843,-2089,-4022,1113,16479,-7259,-6284,1886,6719,-7553,-2113,4098,-2386,3664,-2728,2862,-19848,-6290,-15775,-14312,1328,1946,4283,-6487,1911,-3558,-2275,7513,7296,2371,-4866,-8607,-2982,-3207,-2993,6314,9749,-28300,2104,-114,-9320,-3750,-1296,-5292,4799,17080,4068,-2183,-271,-5289,4863,-5860,-5483,-4762,-4871,-794,2955,490,3372
"주식시장-거래량(만주, 시간외거래분 포함) (만주)",50961,80888,69230,60284,71051,83670,62464,57440,69522,80034,60957,52621,63246,63867,59722,45825,47042,59116,70956,63547,94862,156559,81094,56278,67155,52810,61569,60629,67521,86559,66687,63856,67972,85034,103528,68200,64978,72801,97767,81702,64753,67929,87281,99247,107753,76778,103749,124359,76631,100009,121939,95174,90749,92057,99255,101775,88677,87834,166746,108746,117429,82036,68372,93392,73566,117348,198418,114686,108253,77566,78477,59128,79993,61878,76065,86636,76170,77341,69945,60120,84747,64146,101780,117885,117213,108621,99735,100033,115200,139331,85459,85404,81709,70629,82738,68990,107228,97364,92752,76718,107945,78937,91757,91390,101772,76104,64316,70860,111622,109197,77005,66690,84743,67781,61937,88699,65023,81095,83027,78464,56930,68682,91848,85622,93454,100102,92862,86673,89949,71304,73969,64846,72291,84130,79715,81259,78462,84344,76373,90722,96812,90975,63797,90374,86574,64928,77158,95648,91392,129731,164782,108525,142927,98155,135104,119739,97936,94625,106457,88288,96308,84997,77294,85374,75652,104199,105103,73504,71488,69796,60598,64622,76362,86175,73799,96173,84357,72492,90118,116550,92021,93165,87429,81284,81561,89039,82227,66694,70577,50977,79559,67850,88745,98679,70204,82557,135486,146417,127204,127869,107238,123914,126750,92350,97648,112950,164944,136451,141011,138744,119604,131183,115113,107620,81707,177890,149927,141524,125231,122765,121524,111363,109352,116664,101548,105914,113951,126076,112135,103089,100625,104684,107403,102651,151991,179342,152465,129790,171253,139062,157804,123318,133108,147205,135331,119270,136007,111122,109365,87302,92458,131045,99507,96926,88731,90179,146095,119349,127721,214539,215292,160465,194440,178413,186057,345550,183196,235776,156093,128009,136131,174987,223669,127895,118723,192830,153422,90565,134920,166909,116178,112392,81499,123260,106847,91574,133121,97843,94035,103638,128885,-
"주식시장-거래대금(억원, 시간외거래분 포함) (억원)",67901,88182,65899,71052,72267,80687,77912,77363,83347,88132,54711,66112,68922,81212,63796,56392,64115,71070,76777,71059,93155,89523,80603,72412,99280,78110,86878,78292,79543,72335,87969,91337,85981,113100,133769,85938,97091,95764,119325,106330,96453,104814,126123,123742,128519,90810,139054,121105,101522,101537,109575,116289,111265,105174,120100,95167,99959,107108,141277,119159,138632,94287,91243,96473,81717,103751,105251,102619,85507,73833,79416,77528,96819,90123,94690,97233,93943,119183,82486,86370,95098,79603,125453,126351,144792,140846,98397,102329,169988,160340,127789,131455,146899,128882,169871,149608,182425,138371,154584,110899,123005,100983,134961,133248,106926,98212,90259,116991,102326,107452,86495,116563,148584,115676,120299,120481,104623,116334,136414,113043,101911,120250,157593,156519,163290,171569,142569,175170,155006,135502,130023,136129,152872,178831,178317,175858,195113,196804,166801,182500,165957,175725,123675,171018,141117,116542,135680,144358,151849,155399,194944,166643,157931,174210,196930,171834,172979,155025,157829,120689,120218,118406,118554,142350,139652,142151,178967,135629,124690,101816,89712,94871,106828,111314,89711,125304,106933,102032,110185,130295,111415,104907,118335,98641,97750,107241,116543,112692,89410,103578,117821,85145,108742,148350,125788,125793,148472,179813,183073,164200,170439,190884,177955,135540,125150,122662,157635,168866,217958,127146,126417,212318,159473,175067,156051,198758,179330,171572,170076,206306,183291,170123,155380,136497,162753,191662,189722,198814,202812,199847,241978,192990,179289,250114,265484,299094,271828,409095,444338,314074,247256,241230,231623,231869,241905,246281,252800,243054,211720,218750,201471,230079,243503,207247,191439,224278,206485,197898,193122,183893,183337,169442,171713,168461,181412,197205,182247,176612,215199,172140,215049,188521,147143,171496,167672,157869,184195,135866,160241,131130,125809,129301,139333,151332,163376,133489,161671,134000,134347,158378,167361,-
"시가총액(주식시장, 잠정치) (억원)",15126290,14660830,14721710,14465050,14270470,14271330,14542350,14602440,15014600,14910130,14838460,14983380,15083460,15052950,15112540,15101090,14874360,14884550,14785740,14566920,14005160,14172750,13985690,13837760,13377170,13481090,13561760,13869380,14046840,13739180,13164270,13214800,12848950,12353510,11936860,11552160,11262030,10717880,9821690,10548930,9984500,10836950,11477120,11357410,11565810,11556300,11797280,11339440,11599870,11607430,12050000,12265180,12158580,12353270,12514460,12282260,12489400,12488810,12879120,12769320,12636940,12747860,12870240,12711590,12933180,13005040,13091790,12742130,12965560,12960950,13074040,13007690,12915680,13034640,12928840,12946190,13019260,13318350,13376990,13435610,13243020,13408260,13637350,13646780,13632930,13634500,13874780,14020570,14428710,14462600,14667690,14687150,14720510,14767120,14643920,14340870,13661750,14377010,14400250,14355180,14410800,14307190,14334350,14539510,14208660,14361680,14084630,14188600,14172800,14456640,14568120,14809480,14651790,14609940,14672080,14557810,14795930,14778560,14902400,14783070,14901800,14883580,15095150,15097170,15014250,14909860,15027100,15300860,15361960,15392870,15267980,15280250,15482690,15697780,15906720,15980220,16216750,16432440,16523040,16562930,16368570,15967250,16049830,15462350,15667800,15834360,16081200,16101200,15932460,15995500,15810990,15962970,16059400,16277020,16090980,16205310,16332230,16154700,16302100,16305320,16521670,16626440,16572630,16369160,16408980,16257690,15877330,15879240,15473210,15519150,15711280,15844650,16046270,16099440,16242920,16281330,16363020,16367050,16219360,16174780,16040410,16072990,16162300,16244890,16143110,16181080,16071850,15983880,16074710,15940580,15530040,15757930,16054750,16148360,16533920,16554950,16769440,16810310,17039460,16983290,17104390,17442820,17421860,17464160,17475980,17520650,17869920,17978250,17860750,18031030,18081710,17796350,18094940,18383640,18526280,18774440,18882210,18575990,18945560,18893740,19062990,19016270,18976770,19078110,19064190,19073500,19117370,18818100,19014610,19368260,19383740,19441110,19805430,20288460,20597430,20441020,20865780,21705370,21716290,21557020,21693790,21706780,21278860,20772270,21315640,21465260,21790200,21659930,22120810,21656570,21528600,21156670,20513020,21048890,21340090,21583590,21304130,21544250,21329840,21291750,21401810,21725630,21841140,21629730,21302410,21457560,21261520,21189160,20678210,21390660,20798220,21008920,21275040,21003880,20895490,20692850,20560790,20435400,20811310,21087390,21034900,21182210,21046120,21317460,21131980,21110190,20903780,20887820,20972240,21199630,21167910,21400440
"KOSDAQ지수 (1996.07.01=1000)",685.57,664.7,670.18,656.39,642.48,646.85,661.24,661.32,672.69,672.63,676.07,682.34,686.59,687.61,688.91,692.59,682.92,684.78,681.66,667.99,639.29,656.95,654.63,638.17,610.73,627.66,626.82,641.73,650.19,642.72,614.6,619.97,595.61,563.49,524,504.51,514.73,485.14,428.35,467.75,443.76,480.4,505.68,516.61,522.83,542.11,569.07,551.84,567.7,573.01,597.21,606.9,607.37,615.95,611.26,596.71,610.29,623.43,634.79,637.82,628.77,635.16,643.79,632.96,646.86,644.93,645.18,641.91,658.4,668.17,682.3,685.04,684.21,691.53,690.57,691.93,690.85,696.36,708.76,716.02,708.58,719.89,729.11,724.59,708.75,713.68,735.72,743.58,737.66,742.37,749.31,753.04,753.82,758.62,757.06,746.06,693.15,735.38,735.4,737.33,742.03,751.64,753.23,759.5,750.36,750.58,734.69,737.97,727.58,742.55,752.18,759.9,759.16,765.96,772.9,772.81,781.19,778.39,781.29,775.07,783.22,781.96,790.58,794.99,801.69,794.8,801.23,807.85,808.59,814.19,815.3,827.57,835.35,847.28,854.12,857.63,862.76,860.23,845.6,854.77,835.03,800.22,818.74,791.14,796.01,815.74,836.31,841.35,836.4,841.3,848.24,853.37,866.74,874.13,866.04,878.88,878.29,869.47,884.3,888.44,894.17,899.46,896.28,885.18,888.88,866.99,842.72,843.45,806.95,808.28,835.91,848.15,858.39,862.58,869.66,871.62,873.5,871.92,861.48,844.44,833.84,822.25,824.65,830.67,812.7,807.98,778.02,783.73,806.2,813.93,792.65,802.95,818.46,826.97,844.8,836.78,851.21,840.79,839.9,840.08,839.14,847.33,839.47,851.74,859.94,870.18,873.29,872.1,865.12,874.53,885.56,886.11,891.29,899.34,907.61,913.76,926.88,906.84,913.81,921.7,928.44,929.54,931.27,939.65,944.04,947.24,953.58,928.73,923.17,928.68,927,957.41,968.42,977.62,985.76,981.39,988.86,987.79,976.63,973.72,979.13,980.29,964.44,944.67,957.75,977.66,981.4,979.98,999.3,994,985.92,961.23,928.73,956.92,963.81,970.69,964.58,967.42,960.78,957.85,964.31,981.97,977.74,979.77,967.42,965.11,954.29,936.6,906.31,936.21,913.94,923.17,930.8,926.2,923.48,904.77,896.36,890.07,908.01,925.49,926.9,940.65,943.78,949.83,952.11,955.38,946.31,953.82,954.99,956.7,954.1,958.06
"거래량(만주 : 코스닥시장, 잠정치) (만주)",95778,116122,105687,121389,134360,119331,93825,99128,94633,102474,97910,116707,133384,134510,149919,152492,178102,160489,146481,142755,147693,121253,113706,123180,138963,118685,123287,109768,107768,111350,131750,143103,157065,163953,152237,120166,136741,132227,164625,124315,108669,114364,144108,164936,197970,143199,186542,189710,168026,137477,152602,210862,236293,181058,200174,201035,160052,136816,164002,157107,216401,145927,165930,178107,171885,177073,168625,127927,150680,174494,168395,153894,148657,151072,157269,136002,147028,181909,206865,199380,169605,160367,155477,157139,209728,147268,127540,146496,148274,130597,112502,132559,153257,157727,145211,132440,147073,132020,140847,124396,152920,133669,158447,133349,136207,152203,134722,163860,118478,115554,128538,114217,129002,130635,146560,133228,139598,163562,152781,163114,136542,139922,150035,147696,138421,145534,129355,154733,118162,130190,135735,152275,150912,152180,149896,139720,146402,153248,167453,181111,173224,189740,160178,181314,165874,152128,160532,215221,295168,211138,189007,184391,184323,176349,173069,188473,251794,236782,199069,199417,169950,209877,241095,228621,176842,196520,197366,224611,219688,221204,193834,208477,167526,198191,201304,199429,200937,227790,237327,223867,227583,170166,166494,149245,173493,161336,163435,205653,204977,194255,188046,153712,167227,180469,166081,192320,173545,181565,228117,206889,187863,161988,178949,233037,224920,214898,211884,318511,249437,191734,182952,173804,213327,189061,236118,216759,224053,260125,269566,266689,191376,161059,210083,199831,265071,211484,192645,185646,192414,172477,164228,151081,163873,169712,180819,198042,225679,255737,220109,174198,163516,173617,184477,204050,210776,244171,199507,228818,185012,265149,285796,195160,219088,154651,195739,191243,216471,198820,212833,319899,280675,302838,298548,506775,440895,438846,273125,338833,362229,244520,264276,295966,339281,244899,216799,331891,350619,287935,242491,285619,234159,336516,275648,206291,166427,177723,204153,172939,175108,212512,238878,200157
"거래대금(억원 : 코스닥시장, 잠정치) (억원)",50092,69911,55736,62284,64589,60816,50740,52668,46094,52327,48298,55163,60460,69938,73516,65247,75096,76299,87991,81347,81784,61891,61373,77160,80204,61539,60536,56600,63977,72389,86834,96333,83550,80495,81520,72194,79933,74102,85752,65040,61637,67423,96866,119029,148453,96106,136720,134620,109921,94535,98766,132763,127637,95520,101536,100970,83573,82172,91153,95323,127314,91853,100917,88479,76978,81795,79672,66958,84915,88318,96220,104479,100347,97170,130512,123940,104975,118733,104758,113369,107912,94602,103444,105777,119124,85030,103256,107330,115591,97744,86562,91205,103431,122133,135085,117006,122606,106692,104253,106059,123656,105115,116826,117630,112128,117879,92787,105287,85633,75395,101476,83048,100834,104475,103878,128574,108527,122799,113075,111534,85830,92796,103417,113762,136614,124726,104267,119681,105949,132711,130589,145130,139402,127447,142204,145750,126260,133430,143577,148687,138426,158618,147605,153940,140789,129976,142419,173704,208487,168009,147375,127348,143431,140260,146681,160146,196447,164315,146512,144004,135282,158369,160040,143169,126745,137453,123187,131230,154629,133100,111340,114308,99517,109723,106011,121383,117518,142955,129108,125001,106758,85163,101719,87009,95695,83669,83974,92467,78887,82924,85500,66271,87462,108370,98278,130351,99310,116371,140662,110048,117332,102558,136420,140237,147954,134869,128538,149020,180995,145810,122574,121538,120607,131009,164301,160225,156654,187908,156155,142527,127757,144682,157884,155644,160160,145328,160605,164559,172894,143691,169017,154067,166294,168786,186925,175217,182060,203624,204049,139489,130803,139260,147229,138339,134053,145243,138455,150309,137791,166649,150524,135747,149178,105004,120159,124246,104150,108760,110917,114679,108693,133724,177702,172180,161231,145368,130790,147767,150186,136242,137481,118906,111706,114089,114524,111383,125099,109858,107855,113713,98086,127722,117651,112656,96340,105455,108835,107791,106406,98590,102831,107586
"외국인 순매수(코스닥시장, 잠정치) (억원)",-554,-46,-378,-847,-152,1539,-325,-417,645,-613,-549,187,-82,-628,321,-338,-1246,493,-188,-204,419,1206,-1826,-2351,689,1202,-2209,1000,-803,-1482,-1385,375,-2615,1469,1752,149,2491,-1229,1646,597,-1302,826,-858,-897,-1093,390,-997,-907,-962,-314,1090,-1397,-1016,-776,-1372,-938,1769,729,-371,-260,-617,-249,-331,-1039,741,-1175,-223,78,773,191,776,-1080,-496,8,-210,-519,-112,193,649,286,-1320,1000,-318,-3021,-370,1729,563,-92,-912,1349,1003,140,936,622,-502,1292,-1346,4306,-1149,-961,-673,-215,-794,676,-692,194,-949,1395,-220,1479,423,-609,-2390,240,-77,-467,-456,-118,416,-1442,1162,-957,1035,497,503,-1253,855,-95,741,-112,-862,467,-709,1348,-535,291,-915,-376,-1160,1887,-781,-890,1252,-1888,182,1647,345,-782,-1263,634,2499,-1041,1502,-51,-320,-259,-696,-353,154,-1893,-107,-297,-70,-314,1367,-1521,306,114,-393,641,818,-595,-28,-573,423,28,-195,-599,-293,-101,-92,266,947,-721,-388,591,321,2373,790,-817,-2895,1237,708,100,2700,-3351,1460,-1865,-131,63,-393,1144,-1301,2751,128,1399,-431,1806,-865,1230,2658,-576,200,285,-279,446,1002,-916,713,103,-90,778,-514,995,649,643,805,-1757,1811,3179,2821,1147,-629,-794,-1332,-1020,140,-135,337,-879,246,507,-1431,263,2578,2682,-1164,-786,904,-2092,-1514,-1946,-773,3691,-362,70,-1199,-375,211,93,34,1097,-922,688,-1049,-193,-894,-448,301,1293,-2172,568,-141,-1075,-947,-1778,903,-1083,2117,1683,-737,482,-523,-15,885,-986,-470,864,-872,-910,-377,515
